Afghanistan, Northern, Asia, 34.3, 12.60, 33.0, 65.0
Albania, Northern, Europe, 2.8, 11.40, 41.0, 20.0
Algeria, Northern, Africa, 45.4, 22.50, 28.0, 3.0
Andorra, Northern, Europe, 0.08, 7.60, 42.5, 1.6
Angola, Southern, Africa, 33.1, 21.55, -12.5, 18.5
Antigua and Barbuda, Northern, North America, 0.1, 25.85, 17.05, -61.8
Argentina, Southern, South America, 46.7, 14.80, -34.0, -64.0
Armenia, Northern, Asia, 3, 7.15, 40.0, 45.0
Australia, Southern, Austalia/Oceania, 26.8, 21.65, -27.0, 133.0
Austria, Northern, Europe, 9.1, 6.35, 47.3333, 13.3333
Azerbaijan, Northern, Asia, 10.2, 11.95, 40.5, 47.5
Bahamas, Northern, North America, 0.4, 24.85, 24.25, -76.0
Bahrain, Northern, Asia, 1.6, 26.80, 26.0, 50.55
Bangladesh, Northern, Asia, 170, 25.00, 24.0, 90.0
Barbados, Northern, North America, 0.3, 26.00, 13.1667, -59.5333
Belarus, Northern, Europe, 9.2, 6.15, 53.0, 28.0
Belgium, Northern, Europe, 11.8, 9.55, 50.8333, 4.0
Belize, Northern, North America, 0.4, 25.35, 17.25, -88.75
Benin, Northern, Africa, 12.6, 27.55, 9.5, 2.25
Bhutan, Northern, Asia, 0.8, 7.40, 27.5, 90.5
Bolivia, Southern, South America, 12, 21.55, -17.0, -65.0
Bosnia and Herzegovina, Northern, Europe, 3.3, 9.85, 44.0, 18.0
Botswana, Southern, Africa, 2.4, 21.50, -22.0, 24.0
Brazil, Southern, South America, 203, 24.95, -10.0, -55.0
Brunei, Northern, Asia, 0.4, 26.85, 4.5, 114.6667
Bulgaria, Northern, Europe, 6.4, 10.55, 43.0, 25.0
Burkina Faso, Northern, Africa, 22.2, 28.29, 13.0, -2.0
Burundi, Southern, Africa, 12.8, 19.80, -3.5, 30.0
Cambodia, Northern, Asia, 17.1, 26.80, 13.0, 105.0
Cameroon, Northern, Africa, 28.1, 24.60, 6.0, 12.0
Canada, Northern, North America, 45, -5.10, 60.0, -95.0
Cape Verde, Northern, Africa, 0.5, 23.30, 16.0, -24.0
Central African Republic, Northern, Africa, 5.6, 24.90, 7.0, 21.0
Chad, Northern, Africa, 17.4, 26.55, 15.0, 19.0
Chile, Southern, South America, 20, 8.45, -30.0, -71.0
China, Northern, Asia, 1411.8, 7.50, 35.0, 105.0
Colombia, Northern, South America, 52.2, 24.50, 4.0, -72.0
Congo, Southern, Africa, 6.1, 24.55, -1.0, 15.0
Democratic Republic of Congo, Southern, Africa, 95.4, 24.00, 0.0, 25.0
Costa Rica, Northern, North America, 5.3, 24.80, 10.0, -84.0
Cote dIvoire, Northern, Africa, 29.4, 26.35, 8.0, -5.0
Croatia, Northern, Europe, 3.9, 10.90, 45.1667, 15.5
Cuba, Northern, North America, 11.1, 25.20, 21.5, -80.0
Cyprus, Northern, Europe, 0.9, 18.45, 35.0, 33.0
Czech Republic, Northern, Europe, 10.9, 7.55, 49.75, 15.5
Denmark, Northern, Europe, 5.9, 6.95, 56.0, 10.0
Djibouti, Northern, Africa, 1, 28.00, 11.5, 43.0
Dominica, Northern, North America, 0.07, 22.35, 15.4167, -61.3333
Dominican Republic, Northern, North America, 10.8, 24.55, 19.0, -70.6667
Ecuador, Southern, South America, 16.9, 21.85, -2.0, -77.5
Egypt, Northern, Africa, 105.5, 22.10, 27.0, 30.0
El Salvador, Northern, North America, 6.9, 24.45, 13.8333, -88.9167
Equatorial Guinea, Northern, Africa, 1.6, 24.55, 2.0, 10.0
Eritrea, Northern, Africa, 3.7, 25.50, 15.0, 39.0
Estonia, Northern, Europe, 1.4, 2.00, 59.0, 26.0
Ethiopia, Northern, Africa, 107.3, 22.20, 8.0, 38.0
Fiji, Southern, Australia/Oceania, 0.9, 24.40, -18.0, 175.0
Finland, Northern, Europe, 5.6, 1.55, 64.0, 26.0
France, Northern, Europe, 68.2, 10.70, 46.0, 2.0
Gabon, Southern, Africa, 2.2, 25.05, -1.0, 11.75
Gambia, Northern, Africa, 2.4, 27.50, 13.4667, -16.5667
Georgia, Northern, Asia, 3.7, 5.65, 42.0, 43.5
Germany, Northern, Europe, 84.5, 8.40, 51.0, 9.0
Ghana, Northern, Africa, 30.8, 27.20, 8.0, -2.0
Greece, Northern, Europe, 10.5, 15.40, 39.0, 22.0
Grenada, Northern, North America, 0.1, 26.00, 12.1167, -61.6667
Guatemala, Northern, North America, 17.6, 23.45, 15.5, -90.25
Guinea, Northern, Africa, 13.3, 25.70, 11.0, -10.0
Guinea - Bissau, Northern, Africa, 1.8, 26.75, 12.0, -15.0
Guyana, Northern, South America, 0.7, 26.00, 5.0, -59.0
Haiti, Northern, North America, 11.7, 24.90, 19.0, -72.4167
Vatican City State, Northern, Europe, 0.0008, 13.45, 41.9, 12.45
Honduras, Northern, North America, 9.7, 23.50, 15.0, -86.5
Hungary, Northern, Europe, 9.6, 9.75, 47.0, 20.0
Iceland, Northern, Europe, 0.4, -0.70, 65.0, -18.0
India, Northern, Asia, 1392.3, 23.65, 20.0, 77.0
Indonesia, Southern, Asia, 279.1, 25.85, -5.0, 120.0
Iran, Northern, Asia, 85.4, 17.25, 32.0, 53.0
Iraq, Northern, Asia, 43.3, 21.40, 33.0, 44.0
Ireland, Northern, Europe, 5.3, 9.30, 53.0, -8.0
Israel, Northern, Asia, 9.8, 19.20, 31.5, 34.75
Italy, Northern, Europe, 58.8, 13.45, 42.8333, 12.8333
Jamaica, Northern, North America, 2.8, 24.95, 18.25, -77.5
Japan, Northern, Asia, 124.3, 11.15, 36.0, 138.0
Jordan, Northern, Asia, 11.5, 18.30, 31.0, 36.0
Kazakhstan, Northern, Asia, 19.9, 5.50, 48.0, 68.0
Kenya, Northern, Africa, 51.5, 24.75, 1.0, 38.0
Kiribati, Southern, Australia/Oceania, 0.1, 28.20, 1.4167, 173.0
North Korea, Northern, Asia, 25.7, 5.70, 40.0, 127.0
South Korea, Northern, Asia, 51.4, 11.50, 37.0, 127.5
Kuwait, Northern, Asia, 4.7, 27.15, 29.3375, 47.6581
Kyrgyzstan, Northern, Asia, 7.1, 2.10, 41.0, 75.0
Laos, Northern, Asia, 7.4, 22.80, 18.0, 105.0
Latvia, Northern, Europe, 1.9, 5.60, 57.0, 25.0
Lebanon, Northern, Asia, 5.5, 15.00, 33.8333, 35.8333
Lesotho, Southern, Africa, 2.3, 11.85, -29.5, 28.5
Liberia, Northern, Africa, 5.2, 25.30, 6.5, -9.5
Libya, Northern, Africa, 6.9, 21.80, 25.0, 17.0
Liechtenstein, Northern, Europe, 0.04, 5.80, 47.1667, 9.5333
Lithuania, Northern, Europe, 2.9, 6.20, 56.0, 24.0
Luxembourg, Northern, Europe, 0.7, 8.65, 49.75, 6.1667
North Macedonia, Northern, Europe, 1.8, 9.80, 41.8333, 22.0
Madagascar, Southern, Africa, 26.9, 22.65, -20.0, 47.0
Malawi, Southern, Africa, 21.5, 21.90, -13.5, 34.0
Malaysia, Northern, Asia, 33.4, 25.40, 2.5, 112.5
Maldives, Northern, Asia, 0.4, 28.00, 3.25, 73.0
Mali, Northern, Africa, 22.4, 28.25, 17.0, -4.0
Malta, Northern, Europe, 0.5, 19.20, 35.8333, 14.5833
Marshall Islands, Northern, Australia/Oceania, 0.04, 27.40, 9.0, 168.0
Mauritania, Northern, Africa, 4.5, 27.65, 20.0, -12.0
Mauritius, Southern, Africa, 1.3, 22.40, -20.2833, 57.55
Mexico, Northern, North America, 129.2, 21.00, 23.0, -102.0
Micronesia, Northern, Australia/Oceania, 0.1, 27.60, 6.9167, 158.25
Moldova, Northern, Europe, 2.5, 9.45, 47.0, 29.0
Monaco, Northern, Europe, 0.04, 13.55, 43.7333, 7.4
Mongolia, Northern, Asia, 3.5, 1.70, 46.0, 105.0
Montenegro, Northern, Europe, 0.6, 10.55, 42.0, 19.0
Morocco, Northern, Africa, 37.1, 17.10, 32.0, -5.0
Mozambique, Southern, Africa, 32.4, 23.80, -18.25, 35.0
Myanmar, Northern, Asia, 55.8, 13.05, 22.0, 98.0
Namibia, Southern, Africa, 2.6, 19.95, -22.0, 17.0
Nauru, Southern, Australia/Oceania, 0.01, 28.11, -0.5333, 166.9167
Nepal, Northern, Asia, 29.2, 8.10, 28.0, 84.0
Netherlands, Northern, Europe, 18, 9.25, 52.5, 5.75
New Zealand, Southern, Australia/Oceania, 5.2, 19.53, -41.0, 174.0
Nicaragua, Northern, North America, 6.7, 24.90, 13.0, -85.0
Niger, Northern, Africa, 25.4, 27.15, 16.0, 8.0
Nigeria, Northern, Africa, 216.8, 27.00, 10.0, 8.0
Norway, Northern, Europe, 5.5, 1.50, 62.0, 10.0
Oman, Northern, Asia, 5.1, 25.60, 21.0, 57.0
Pakistan, Northern, Asia, 241.5, 20.20, 30.0, 70.0
Palau, Northern, Australia/Oceania, 0.02, 27.60, 7.5, 134.5
Palestine State, Northern, Asia, 5.5, 18.70, 32.0, 35.25
Panama, Northern, North America, 4.3, 25.40, 9.0, -80.0
Papua New Guinea, Southern, Australia/Oceania, 11.8, 25.25, -6.0, 147.0
Paraguay, Southern, South America, 6.1, 23.55, -23.0, -58.0
Peru, Southern, South America, 33.4, 19.60, -10.0, -76.0
Philippines, Northern, Asia, 110.7, 25.55, 13.0, 122.0
Poland, Northern, Europe, 37.7, 7.85, 52.0, 20.0
Portugal, Northern, Europe, 10.5, 15.15, 39.5, -8.0
Qatar, Northern, Asia, 2.7, 27.15, 25.5, 51.25
Romania, Northern, Europe, 19.1, 8.80, 46.0, 25.0
Russian Federation, Northern, Asia, 146.4, -5.35, 60.0, 100.0
Rwanda, Southern, Africa, 13.2, 17.85, -2.0, 30.0
Saint Kitts and Nevis, Northern, North America, 0.05, 24.50, 17.3333, -62.75
Saint Lucia, Northern, North America, 0.2, 25.50, 13.8833, -61.1333
Saint Vincent and the Grenadines, Northern, North America, 0.1, 26.80, 13.25, -61.2
Samoa, Southern, Australia/Oceania, 0.2, 26.70, -13.5833, -172.3333
San Marino, Northern, Europe, 0.03, 11.85, 43.7667, 12.4167
Sao Tome and Principe, Northern, Africa, 0.2, 23.75, 1.0, 7.0
Saudi Arabia, Northern, Asia, 32.2, 24.65, 25.0, 45.0
Senegal, Northern, Africa, 18.3, 27.85, 14.0, -14.0
Serbia, Northern, Europe, 6.6, 10.55, 44.0, 21.0
Seychelles, Southern, Africa, 0.1, 27.15, -4.5833, 55.6667
Sierra Leone, Northern, Africa, 8.5, 26.05, 8.5, -11.5
Singapore, Northern, Asia, 5.9, 26.45, 1.3667, 103.8
Slovakia, Northern, Europe, 5.4, 6.80, 48.6667, 19.5
Slovenia, Northern, Europe, 2.1, 8.90, 46.0, 15.0
Solomon Islands, Southern, Australia/Oceania, 0.7, 25.65, -8.0, 159.0
Somalia, Northern, Africa, 18.1, 27.05, 10.0, 49.0
South Africa, Southern, Africa, 62, 17.75, -29.0, 24.0
South Sudan, Northern, Africa, 13.2, 28.1, 8.0, 30.0
Spain, Northern, Europe, 48.3, 13.30, 40.0, -4.0
Sri Lanka, Northern, Asia, 22, 26.95, 7.0, 81.0
Sudan, Northern, Africa, 42, 26.90, 15.0, 30.0
Suriname, Northern, South America, 0.6, 25.70, 4.0, -56.0
Sweden, Northern, Europe, 10.5, 1.75, 62.0, 15.0
Switzerland, Northern, Europe, 9, 5.10, 47.0, 8.0
Syria, Northern, Asia, 22.9, 17.75, 35.0, 38.0
Taiwan, Northern, Asia, 23.4, 21.70, 23.5, 121.0
Tajikistan, Northern, Asia, 10.1, 6.40, 39.0, 71.0
Tanzania, Southern, Africa, 61.7, 22.35, -6.0, 35.0
Thailand, Northern, Asia, 68.3, 26.30, 15.0, 100.0
Timor - Leste, Southern, Asia, 1.3, 25.25, -8.55, 125.5167
Togo, Northern, Africa, 8.1, 27.15, 8.0, 1.1667
Tonga, Southern, Australia/Oceania, 0.1, 25.25, -20.0, -175.0
Trinidad and Tobago, Northern, North America, 1.4, 25.75, 11.0, -61.0
Tunisia, Northern, Africa, 11.9, 19.20, 34.0, 9.0
Turkey, Northern, Europe, 85.3, 9.90, 39.0, 35.0
Turkmenistan, Northern, Asia, 7.1, 15.10, 40.0, 60.0
Tuvalu, Southern, Australia/Oceania, 0.01, 27.65, -8.0, 178.0
Uganda, Northern, Africa, 42.9, 22.80, 1.0, 32.0
Ukraine, Northern, Europe, 41.3, 8.30, 49.0, 32.0
United Arab Emirates, Northern, Asia, 9.3, 26.65, 24.0, 54.0
United Kingdom, Northern, Europe, 67, 8.45, 54.0, -2.0
United States, Northern, North America, 335.6, 8.55, 38.0, -97.0
Uruguay, Southern, South America, 3.6, 17.55, -33.0, -56.0
Uzbekistan, Northern, Asia, 36.6, 12.05, 41.0, 64.0
Vanuatu, Southern, Australia/Oceania, 0.3, 23.95, -16.0, 167.0
Venezuela, Northern, South America, 28.3, 25.35, 8.0, -66.0
Vietnam, Northern, Asia, 100, 24.45, 16.0, 106.0
Western Sahara, Northern, Africa, 0.6, 26.70, 24.5, -13.0
Yemen, Northern, Asia, 31.9, 23.85, 15.0, 48.0
Zambia, Southern, Africa, 19.6, 21.40, -15.0, 30.0
Zimbabwe, Southern, Africa, 15.2, 21.00, -20.0, 30.0